,title,comment_count
36453,BTS (방탄소년단) 'FAKE LOVE' Official MV,1114800
36153,BTS (방탄소년단) 'FAKE LOVE' Official MV,1084435
35900,BTS (방탄소년단) 'FAKE LOVE' Official MV,1040912
35685,BTS (방탄소년단) 'FAKE LOVE' Official MV,905912
4996,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,827755
5900,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,817582
5623,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,807558
5398,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,787174
4795,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,702784
35515,BTS (방탄소년단) 'FAKE LOVE' Official MV,692311
